# FNIRS session start 2025-08-10T09:53:07.457161
# columns: t_rel, sr, nr, red_mean, red_std, red_min, red_max, ir_mean, ir_std, ir_min, ir_max
156.690,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
157.738,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
158.786,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
159.816,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
160.832,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
161.832,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
162.841,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
163.891,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
164.961,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
166.004,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
167.010,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
168.059,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
169.095,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
170.101,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
171.109,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
172.111,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
173.130,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
174.141,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
175.194,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
176.199,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
177.207,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
178.222,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
179.277,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
180.299,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
181.312,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
182.320,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
183.342,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
184.394,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
185.394,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
186.397,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
187.399,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
188.404,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
189.459,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
190.464,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
191.471,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
192.476,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
193.526,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
194.531,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
195.538,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
196.557,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
197.569,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
198.586,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
199.588,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
200.598,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
201.614,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
202.633,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
203.644,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
204.697,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
205.709,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
206.713,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
